gene	logFC	logCPM	LR	PValue	FDR
ECHDC1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
TBPL1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
IFNGR1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
LFNG	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
WIPI2	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
RPA3	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
SNX13	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
CYCS	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
BAZ1B	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
DNAJC30	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ACN9	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
RP11-138A9.2	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ZC3HAV1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
TMEM176A	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
INSIG1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
VBP1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
PLEKHA2	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
UTP23	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
CHRAC1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
VPS28	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
TOPORS	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ZCCHC6	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ERP44	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
COQ4	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
RBM17	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
DNAJC1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
MTPAP	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
KIF5B	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
UBE2D1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
HNRNPH3	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
GLUD1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
HHEX	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ACTR1A	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
TIMM10B	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
FKBP2	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
PRKRIR	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
AASDHPPT	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
TIMM8B	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
C3AR1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
CDKN1B	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
IRAK4	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
TMEM106C	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
PLXNC1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
RSRC2	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
UBL3	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
EXOSC8	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
KHNYN	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
C14orf159	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
USP8	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
HERC1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
IMP3	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
CTSH	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
MTHFS	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ST20	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
MAN2A2	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ROGDI	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
PPP4C	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
DCTPP1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
CYLD	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
CKLF	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
IRF8	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ANKRD11	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
LYRM9	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
NSRP1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
LSM12	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
RHBDF2	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
TIMP2	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ARHGDIA	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
OSER1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
SLC2A4RG	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
GPR108	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
MYO1F	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ILF3	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ILVBL	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
RAB8A	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
PSENEN	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
RRAS	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ETFB	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
SIGLEC10	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ZNF581	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
EPN1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
COMT	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
SNAP29	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
CYTH4	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
GGA1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
MAP3K7CL	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
NSA2	3.33436824126082	9.68209063732004	3.65362576803038	0.0559472914847573	1
ADD3	-2.91168758053737	9.5381239629638	3.65293844061391	0.0559703819138266	1
UQCRC2	-2.91168758053737	9.5381239629638	3.65293844061391	0.0559703819138266	1
HADHA	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
NRBP1	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
CCDC88A	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
RAB1A	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
AUP1	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
DYNC1I2	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
APEH	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
ABHD14B	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
SNX4	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
SMIM20	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
PPP2CA	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
ETF1	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
TAGAP	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
IGBP1	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
RRS1	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
SHARPIN	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
SPTAN1	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
